title,price,location,bedrooms,bathrooms,listing_url,scraped_at
1 Bed Apartment with En Suite in Kilimani,"KSh 3,000,000",Kilimani,1 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4017294,2026-06-26T20:45:22.316597
1 Bed Apartment with En Suite in Kilimani,"KSh 4,000,000",Kilimani,1 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4017292,2026-06-26T20:45:22.397291
4 Bed Apartment with En Suite in Westlands Area,"KSh 17,900,000","Westlands Area, Westlands",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-westlands-area-4017290,2026-06-26T20:45:22.473417
4 Bed Apartment with En Suite in Westlands Area,"KSh 17,900,000","Westlands Area, Westlands",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-apartment-for-sale-westlands-area-4017287,2026-06-26T20:45:22.550984
2 Bed Apartment with En Suite in Lavington,"KSh 7,500,000",Lavington,2 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-lavington-4016890,2026-06-26T20:45:52.411371
1 Bed Apartment with En Suite in Lavington,"KSh 5,000,000",Lavington,1 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-lavington-4009719,2026-06-26T20:45:52.510243
3 Bed Apartment with En Suite in Kilimani,"KSh 10,000,000",Kilimani,3 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kilimani-4017259,2026-06-26T20:45:52.602946
2 Bed Apartment with En Suite in Westlands Area,"KSh 7,000,000","Westlands Area, Westlands",2 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-westlands-area-4017254,2026-06-26T20:45:52.693306
2 Bed Apartment with En Suite in Kileleshwa,"KSh 8,500,000",Kileleshwa,2 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kileleshwa-4016878,2026-06-26T20:45:52.770847
1 Bed Apartment with En Suite in Kileleshwa,"KSh 5,000,000",Kileleshwa,1 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kileleshwa-4009576,2026-06-26T20:45:52.847891
3 Bed Apartment with En Suite in Kileleshwa,"KSh 10,000,000",Kileleshwa,3 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-apartment-for-sale-kileleshwa-4016859,2026-06-26T20:45:52.926742
1 Bed Apartment with En Suite in Kilimani,"KSh 5,900,000",Kilimani,1 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4016849,2026-06-26T20:46:23.593799
2 Bed Apartment with En Suite in Kilimani,"KSh 8,000,000",Kilimani,2 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-4009376,2026-06-26T20:46:23.674593
1 Bed Apartment with En Suite in Kilimani,"KSh 5,400,000",Kilimani,1 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-kilimani-4009475,2026-06-26T20:46:23.752119
2 Bed Apartment with En Suite in Kilimani,"KSh 6,500,000",Kilimani,2 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-apartment-for-sale-kilimani-4016845,2026-06-26T20:46:23.831929
1 Bed Apartment with En Suite in Westlands Area,"KSh 6,000,000","Westlands Area, Westlands",1 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-westlands-area-4016811,2026-06-26T20:46:23.910612
1 Bed Apartment with En Suite in Westlands Area,"KSh 7,000,000","Westlands Area, Westlands",1 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-westlands-area-4016808,2026-06-26T20:46:23.987352
1 Bed Apartment with En Suite in Westlands Area,"KSh 6,000,000","Westlands Area, Westlands",1 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/1-bedroom-apartment-for-sale-westlands-area-4016804,2026-06-26T20:46:24.065473
